LGA,population,deaths,rate
BANYULE,123584,842,5.2
BAYSIDE,96971,827,4.9
BOROONDARA,168483,1051,4.5
BRIMBANK,193774,950,5.7
CARDINIA,80422,378,5.9
CASEY,269240,1161,5.9
DAREBIN,144986,1053,5.7
FRANKSTON,132194,835,5.9
GLEN EIRA,139116,925,4.8
GREATER DANDENONG,145116,960,5.9
HOBSONS BAY,88339,588,5.9
HUME,179202,730,6.1
KINGSTON,150435,1020,5.2
KNOX,155406,908,5.6
MANNINGHAM,117440,794,4.5
MARIBYRNONG,77179,452,6.2
MAROONDAH,108434,772,5.7
MELBOURNE,107578,264,4.8
MELTON,118329,382,6.2
MONASH,180312,1122,4.6
MOONEE VALLEY,113673,780,5.2
MORELAND,156967,1093,5.6
MORNINGTON PENINSULA,151700,1246,5.3
NILLUMBIK,62935,230,5
PORT PHILLIP,99893,458,5.6
STONNINGTON,101410,542,4.3
WHITEHORSE,159661,1146,4.8
WHITTLESEA,169993,765,5.9
WYNDHAM,179131,562,5.6
YARRA,81268,337,5.2
YARRA RANGES,149864,762,5.3
